query,top tables,target table,target answer
who is the captain of the toronto raptors,The Curse of Oak Island_BE09570EE4869CAA,Toronto Raptors_7F826A9024477023,"DeRozan, DeMar; Lowry, Kyle"
who is the captain of the toronto raptors,List of Henry Danger episodes_E1B7C3ADB9720878,Toronto Raptors_7F826A9024477023,"DeRozan, DeMar; Lowry, Kyle"
who is the captain of the toronto raptors,The Orville_E2D2115923EE195,Toronto Raptors_7F826A9024477023,"DeRozan, DeMar; Lowry, Kyle"
who is the captain of the toronto raptors,List of Henry Danger episodes_282B07B893D0EF30,Toronto Raptors_7F826A9024477023,"DeRozan, DeMar; Lowry, Kyle"
who is the captain of the toronto raptors,LA to Vegas_3BDFDB880542518E,Toronto Raptors_7F826A9024477023,"DeRozan, DeMar; Lowry, Kyle"
who is the captain of the toronto raptors,Toronto Marlies_D3DAA09A2BFC2983,Toronto Raptors_7F826A9024477023,"DeRozan, DeMar; Lowry, Kyle"
who is the captain of the toronto raptors,List of Henry Danger episodes_6743D83CC54BE24,Toronto Raptors_7F826A9024477023,"DeRozan, DeMar; Lowry, Kyle"
who is the captain of the toronto raptors,When the Boat Comes In_C861EEFE96339AF7,Toronto Raptors_7F826A9024477023,"DeRozan, DeMar; Lowry, Kyle"
who is the captain of the toronto raptors,List of The Next Step episodes_5A5DF216F20D88DE,Toronto Raptors_7F826A9024477023,"DeRozan, DeMar; Lowry, Kyle"
who is the captain of the toronto raptors,Pee-wee's Playhouse_730A5AAD85B1126,Toronto Raptors_7F826A9024477023,"DeRozan, DeMar; Lowry, Kyle"
who is the captain of the toronto raptors,Toronto Blue Jays_FC73C6DB3574887C,Toronto Raptors_7F826A9024477023,"DeRozan, DeMar; Lowry, Kyle"
who is the captain of the toronto raptors,Toronto Maple Leafs_FC73C6DB3574887C,Toronto Raptors_7F826A9024477023,"DeRozan, DeMar; Lowry, Kyle"
who is the captain of the toronto raptors,Toronto Raptors_59BAC7F2A97C7CD0,Toronto Raptors_7F826A9024477023,"DeRozan, DeMar; Lowry, Kyle"
who is the captain of the toronto raptors,Toronto Argonauts_D116953FA401FAC0,Toronto Raptors_7F826A9024477023,"DeRozan, DeMar; Lowry, Kyle"
who is the captain of the toronto raptors,List of Star Wars Rebels episodes_CE9873EDDE06DF51,Toronto Raptors_7F826A9024477023,"DeRozan, DeMar; Lowry, Kyle"
who is the captain of the toronto raptors,Jessica Jones (TV series)_C2304C361E3386B6,Toronto Raptors_7F826A9024477023,"DeRozan, DeMar; Lowry, Kyle"
who is the captain of the toronto raptors,List of Black Clover episodes_32633B332339607C,Toronto Raptors_7F826A9024477023,"DeRozan, DeMar; Lowry, Kyle"
who is the captain of the toronto raptors,Thanos_587DD506541FEB84,Toronto Raptors_7F826A9024477023,"DeRozan, DeMar; Lowry, Kyle"
who is the captain of the toronto raptors,Drax the Destroyer_587DD506541FEB84,Toronto Raptors_7F826A9024477023,"DeRozan, DeMar; Lowry, Kyle"
