query,top tables,target table,target answer
i want to hold your hand b side,I Want to Hold Your Hand_E9333B9BCB7362D9,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Can't Buy Me Love_657CC98F732F56E6,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Money (That's What I Want)_882C627514CD88CA,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,I Saw Her Standing There_3240C4C673EB66E1,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,This Boy_EC24D5905807C3DB,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,I Wanna Be Your Man_27AC74646D8848A1,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,You've Really Got a Hold on Me_2EB9F6D736E9F0F2,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,The Beatles discography_27AC74646D8848A1,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Till There Was You_2EB9F6D736E9F0F2,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,I Want to Hold Your Hand_BDEA2A85D926000B,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Don't Stop (Fleetwood Mac song)_952DC1E6394819A3,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Go Your Own Way_687CE62CD96E6404,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Dreams (Fleetwood Mac song)_AA07CB2F928EBAAD,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,I Want to Hold Your Hand_F624C9FFE857BF2F,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,I Don't Want to Spoil the Party_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Do You Want to Know a Secret_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,I Want to Hold Your Hand_5A2ED4AD8334B58B,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,I Want to Hold Your Hand_FE652E7027A25459,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,The Beatles discography_BF92CAAC6621A4F0,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Hey Jude_BDEA2A85D926000B,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,The Beatles_BDEA2A85D926000B,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,"Ob-La-Di, Ob-La-Da_F7AB7AB97536E8DC",I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Twist and Shout_BDEA2A85D926000B,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Get Back_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Penny Lane_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,This Boy_950DDAD088E03872,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Don't Pass Me By_BDEA2A85D926000B,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Something (Beatles song)_BDEA2A85D926000B,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,I Am the Walrus_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Love Me Do_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Strawberry Fields Forever_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,The Beatles discography_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Got to Get You into My Life_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,I'm Happy Just to Dance with You_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,I Saw Her Standing There_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Eight Days a Week_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Here Comes the Sun_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,You're Going to Lose That Girl_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,What Goes On (Beatles song)_F7AB7AB97536E8DC,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,She's a Woman_950DDAD088E03872,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,All You Need Is Love_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,We Can Work It Out_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,While My Guitar Gently Weeps_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,A Day in the Life_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Can't Buy Me Love_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Don't Pass Me By_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Helter Skelter (song)_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Julia (Beatles song)_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,The Ballad of John and Yoko_950DDAD088E03872,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,When the Saints Go Marching In_950DDAD088E03872,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Yellow Submarine (song)_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Yesterday (Beatles song)_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Come Together_7A3E363E63C4D295,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Let It Be (song)_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
i want to hold your hand b side,Real Love (Beatles song)_BE6A12F406C65225,I Want to Hold Your Hand_E9333B9BCB7362D9,"This Boy"" (UK); I Saw Her Standing There"" (US)"
