query,top tables,target table,target answer
when did the battle of the somme occur,British Expeditionary Force (World War I)_DBCD602E2C86E6F7,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Timeline of World War I_F3541A23DE96BD21,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Timeline of World War I_A58E71AE5F886232,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,First day on the Somme_AA31916ABE2AF398,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Battle of the Somme_FBCE647BAF769523,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Dual process theory_D32753740F3FFD7C,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Captain Mainwaring_1E66FDCB46A4A47D,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,List of Dad's Army characters_1E66FDCB46A4A47D,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Dad's Army_C710794EA0E91F9C,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Dad's Army (2016 film)_C710794EA0E91F9C,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Commanders of World War II_251A1D20EF430AF0,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Records of members of parliament of the United Kingdom_1DA07D2A7F99847C,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Battle of Fromelles_EF175B5BD0BDFCE9,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Adrian Carton de Wiart_8F8A370D85695C24,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Typhoons in the Philippines_D5475E727FE4D280,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Hospital-acquired infection_371AF301FC190495,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,The Battle of New Orleans_B33EE6876FDA20D0,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,When I Fall in Love_5B6475D040736004,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,History of the United Kingdom during the First World War_D82E406A8F92D629,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Twin_3091CC477BFCDDBF,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,First Battle of the Marne_D82E406A8F92D629,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,First day on the Somme_5A6416D077256D6F,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Battle of the Somme_5843A10F57F3E233,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Cerebral shunt_98D17476A61D4A58,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Battle of the Frontiers_8E87DB264D6A9B40,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Partition of the Ottoman Empire_8E87DB264D6A9B40,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Empire of Japan_D82E406A8F92D629,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Treaty of Versailles_D82E406A8F92D629,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Russian Civil War_D82E406A8F92D629,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,World War I_D82E406A8F92D629,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,World War I casualties_D82E406A8F92D629,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Assassination of Archduke Franz Ferdinand_D82E406A8F92D629,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Participants in World War I_D82E406A8F92D629,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Treaty of Versailles_5A6416D077256D6F,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Sinking of the RMS Lusitania_99967C7E2FE1F352,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Battle of Vimy Ridge_A3F1C487C4FD095,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Eastern Front (World War I)_D82E406A8F92D629,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Battle of Passchendaele_465424AB5457C8AB,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,List of last World War I veterans by country_D82E406A8F92D629,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,First Battle of Ypres_465424AB5457C8AB,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Second Battle of Ypres_465424AB5457C8AB,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Battle of Tannenberg_44BDAF35234F300A,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Central Powers_44BDAF35234F300A,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Battle of Jutland_5843A10F57F3E233,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Battle of Romani_5843A10F57F3E233,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Battle of Verdun_5843A10F57F3E233,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Christmas truce_5843A10F57F3E233,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Gallipoli Campaign_5843A10F57F3E233,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Meuse-Argonne Offensive_5843A10F57F3E233,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Schlieffen Plan_5843A10F57F3E233,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Trench warfare_5843A10F57F3E233,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Timeline of World War I_44BDAF35234F300A,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Scramble for Africa_5843A10F57F3E233,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
when did the battle of the somme occur,Battle of Mons_8E87DB264D6A9B40,Battle of the Somme_FBCE647BAF769523,1 July – 18 November 1916
