query,top tables,target table,target answer
who sings the song you are always on my mind,She Thinks I Still Care_DB5467D529F83F58,Always on My Mind_4164221992A092E6,Gwen McCrae
who sings the song you are always on my mind,I Don't Wanna Play House_DB5467D529F83F58,Always on My Mind_4164221992A092E6,Gwen McCrae
who sings the song you are always on my mind,My Bucket's Got a Hole in It_70B4D389C16918C7,Always on My Mind_4164221992A092E6,Gwen McCrae
who sings the song you are always on my mind,Gentle on My Mind (song)_B05410AAEDC97747,Always on My Mind_4164221992A092E6,Gwen McCrae
who sings the song you are always on my mind,God's Problem Child_70B4D389C16918C7,Always on My Mind_4164221992A092E6,Gwen McCrae
who sings the song you are always on my mind,The Highwaymen (country supergroup)_70B4D389C16918C7,Always on My Mind_4164221992A092E6,Gwen McCrae
who sings the song you are always on my mind,You Belong to Me (1952 song)_FDEB0945818C607E,Always on My Mind_4164221992A092E6,Gwen McCrae
who sings the song you are always on my mind,Always on My Mind_875A4FE002142DF5,Always on My Mind_4164221992A092E6,Gwen McCrae
who sings the song you are always on my mind,United Kingdom in the Eurovision Song Contest 2015_F74C87345722D335,Always on My Mind_4164221992A092E6,Gwen McCrae
who sings the song you are always on my mind,United Kingdom in the Eurovision Song Contest_C00F276C646D75A3,Always on My Mind_4164221992A092E6,Gwen McCrae
who sings the song you are always on my mind,United Kingdom in the Eurovision Song Contest 2018_C00F276C646D75A3,Always on My Mind_4164221992A092E6,Gwen McCrae
who sings the song you are always on my mind,UK national selection for the Eurovision Song Contest_A8E4911795DB13EA,Always on My Mind_4164221992A092E6,Gwen McCrae
who sings the song you are always on my mind,United Kingdom in the Eurovision Song Contest 1974_A8E4911795DB13EA,Always on My Mind_4164221992A092E6,Gwen McCrae
who sings the song you are always on my mind,United Kingdom in the Eurovision Song Contest 2017_A8E4911795DB13EA,Always on My Mind_4164221992A092E6,Gwen McCrae
who sings the song you are always on my mind,Bonnie Tyler_38591E424160FC02,Always on My Mind_4164221992A092E6,Gwen McCrae
who sings the song you are always on my mind,Lucie Jones_38591E424160FC02,Always on My Mind_4164221992A092E6,Gwen McCrae
who sings the song you are always on my mind,(Remember Me) I'm the One Who Loves You_FDEB0945818C607E,Always on My Mind_4164221992A092E6,Gwen McCrae
who sings the song you are always on my mind,You Are My Sunshine_7A3D95A5FC14B70B,Always on My Mind_4164221992A092E6,Gwen McCrae
