query,top tables,target table,target answer
what is the richest company in south africa,The World's Billionaires_1B53F7C479683503,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,List of countries by the number of billionaires_7F5A930C10104DD,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,List of countries by the number of billionaires_605AA10AB4DA8596,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Lion_5AC847A20B8DB333,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,List of richest Americans in history_7EFCC9EA54266A87,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,List of countries by the number of billionaires_AAA9C002EE8C94B1,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,The World's Billionaires 2014_9BA11BB53BFFCF9B,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,List of members of the Forbes 400_E5D3FD1C3B73DE2,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,List of countries by the number of billionaires_294EA7AB94216972,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,The World's Billionaires_7EFCC9EA54266A87,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Kenya_6D95FDF3C0FA70FE,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Sudan_3A365DDD987CDF88,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,List of territorial entities where English is an official language_6A94D8C261AF64A8,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Kenya_C292D25C5D1EEFF5,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Sudan_A37B98EE203614C5,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Languages of the United States_A37B98EE203614C5,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Hong Kong_88817F2C97E43EE,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,British Virgin Islands_A37B98EE203614C5,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,English language_B750A6A6AE8D7A91,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Languages of the Philippines_6A94D8C261AF64A8,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Dominica_6A94D8C261AF64A8,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Wales_6A94D8C261AF64A8,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,The Bahamas_301F974174F1D8DE,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,American English_6A94D8C261AF64A8,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Indian English_6A94D8C261AF64A8,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Saint Lucia_6A94D8C261AF64A8,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Sierra Leone_6A94D8C261AF64A8,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Australia_301F974174F1D8DE,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,England_301F974174F1D8DE,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Nigeria_301F974174F1D8DE,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Scotland_8C8607A1B31B5AAB,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Languages of Fiji_6A94D8C261AF64A8,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,List of territorial entities where English is an official language_7847A719A08F50F9,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Falkland Islands_301F974174F1D8DE,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Northern Ireland_301F974174F1D8DE,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,United Kingdom_301F974174F1D8DE,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,South Africa_C2E82F863C0D30DB,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Cayman Islands_8C8607A1B31B5AAB,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Antigua and Barbuda_301F974174F1D8DE,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Isle of Man_301F974174F1D8DE,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Languages of Singapore_301F974174F1D8DE,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Languages of Hong Kong_301F974174F1D8DE,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Bermuda_C2E82F863C0D30DB,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Guyana_C2E82F863C0D30DB,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Lesotho_C2E82F863C0D30DB,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,English language_C2E82F863C0D30DB,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Hong Kong_C2E82F863C0D30DB,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Republic of Ireland_C2E82F863C0D30DB,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,List of countries by English-speaking population_C2E82F863C0D30DB,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Kenya_250D1A1413BD80CF,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Dominica_7847A719A08F50F9,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Wales_7847A719A08F50F9,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,Languages of the Philippines_7847A719A08F50F9,List of companies of South Africa_AFB04A69AB0171B5,Sasol
what is the richest company in south africa,The Bahamas_8FE89F8859D023C8,List of companies of South Africa_AFB04A69AB0171B5,Sasol
