query,top tables,target table,target answer
who wrote lyrics to phantom of the opera,The Phantom of the Opera (1986 musical)_26B275B2630FDD3E,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,The Phantom of the Opera (1986 musical)_EEFF995B32389003,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,The Phantom of the Opera_B5FECF6DA8A2F8F7,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,The Phantom of the Opera (2004 film)_3930581C1160BE43,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,Christine Daaé_E47009D494FA9574,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,Love Never Dies (musical)_3930581C1160BE43,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,Jesus Christ Superstar (film)_4114086FE56274DB,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,Christine Daaé_7B8E1FD31ED86C1B,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,The Phantom of the Opera (2004 soundtrack)_13AF8A77AD1B8642,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,The Phantom of the Opera (1986 musical)_609DA280B247ED5C,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,The Phantom of the Opera (2004 film)_29DDE44206B648B6,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,Don't Cry for Me Argentina_8AB0A8E801F1DE5E,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,Jesus Christ Superstar_B43F6B4A74893B81,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,Joseph and the Amazing Technicolor Dreamcoat_B43F6B4A74893B81,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,The Phantom of the Opera (1986 musical)_48C8325E65C1DDEE,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,Joseph and the Amazing Technicolor Dreamcoat_F0C67396F1F46A8,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,The Phantom of the Opera (1986 musical)_644E64CD10A4CDD0,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,Hotel Transylvania 2_BEBC54441FF99031,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,Don't Cry for Me Argentina_609DA280B247ED5C,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,Jesus Christ Superstar_9140F7FEADA1E114,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,Creature from the Black Lagoon_47675BDEA0352A11,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,Bride of Frankenstein_46D196BF436B6708,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,Hotel Transylvania_46D196BF436B6708,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,Young Frankenstein_46D196BF436B6708,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,List of people considered father or mother of a scientific field_6CE5CBD1B28AD545,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,Joseph and the Amazing Technicolor Dreamcoat_9140F7FEADA1E114,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,List of people considered father or mother of a scientific field_7F4BC3076488D9B7,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,Frankenstein (1931 film)_46D196BF436B6708,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,Hotel Transylvania 3: Summer Vacation_46D196BF436B6708,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,The Mummy (1999 film)_DFA227661D68DAF3,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
who wrote lyrics to phantom of the opera,Academy Award for Best Original Song_EDDD92915C9AD94D,The Phantom of the Opera (1986 musical)_1B9AC1856C23683D,Charles Hart; Richard Stilgoe
