query,top tables,target table,target answer
what was the major platform of the know-nothing party,President of the European Council_2A509C1F4AE3516D,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of political parties in Australia_2C24489A961789CC,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of Presidents of the United States by other offices held_45ACE46FB7F8C6D9,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Whiskey Rebellion_C2467EBC4D60E305,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of political parties in Australia_B9FA67D1875A1377,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of political parties in Australia_2D917DA1DB2C1758,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Commanders of World War II_C4531DB542323313,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of political parties in Australia_C3A43F724F2BF537,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of political parties in Australia_F1B7D2EBC64711C2,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Records of members of parliament of the United Kingdom_1DA07D2A7F99847C,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of political parties in Australia_7FEB01550E438F13,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of Prime Ministers of Sri Lanka_EFD4020A6767D50D,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of political parties in Australia_F50DB7D7FEA1FEB3,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Greenback Party_AD7AF96FE7DD59AC,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Law & Order: Special Victims Unit (season 19)_10D9C0D82313156F,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,John Adams_20B7C3DE0A3679A0,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of heads of state of Mexico_4994231605FB8857,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of Red Hot Chili Peppers band members_B2170E39BD43B156,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Green Party of England and Wales_59ADEDD017D4F1D2,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Walk the Dinosaur_81085E175B1CCBB7,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,John Adams_C94D6077FEE01D40,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of heads of state of Mexico_57FAB86C43822466,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of political parties in Australia_7322B92137124596,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of heads of state of Mexico_8353DDA392E6344D,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of heads of state of Mexico_B7FB32ED2F276862,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of spaceflight-related accidents and incidents_578D60EB034E4B23,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Records of members of parliament of the United Kingdom_9E113CBC9D7227CE,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,James Buchanan_29158B038641CEA1,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,The Bachelorette (season 14)_CA7C00F01DEBA5D8,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Comedians in Cars Getting Coffee_F2533FE95E4D05D4,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Return of the Mack_45DCCDB9334C3FB5,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Prime Minister of South Africa_6712D179CE64CE24,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of political parties in Australia_329FAA7C61A27F39,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of iZombie episodes_802589B5A73238BB,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,James Buchanan_E1C129F2547DB402,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of third party performances in United States elections_E1EFA4D4F89CB3D0,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Saturday Night Live cast members_E48A4AAC8FACFE6E,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Commanders of World War II_251A1D20EF430AF0,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of Andi Mack episodes_B507ABF1AB586441,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Law & Order: Special Victims Unit (season 19)_CE9E9CCA105B6549,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of leaders of the Soviet Union_DE0EB150E472D656,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Pee-wee's Playhouse_3F0706F48D95B106,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Whig Party (United States)_29A1F0DBF57514B,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of buildings with 100 floors or more_CEE055C7492C4D75,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of heads of state of Mexico_94C802E27D4E6888,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Who Do You Think You Are? (UK TV series)_D9256320C15858FC,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,"Progressive Party (United States, 1912)_B74C68F70817191E",Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Udaipur_A72144C1B7215A88,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of heads of state of Mexico_FE4F74EEF8DF9482,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Democratic Party (United States)_E1EFA4D4F89CB3D0,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Republican Party (United States)_E1EFA4D4F89CB3D0,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Constitutional Union Party (United States)_2CD55EAFA9BC13C2,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,National Union Party (United States)_E1EFA4D4F89CB3D0,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,People's Party (United States)_2CD55EAFA9BC13C2,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of Presidents of Pakistan_85A09E10692A1485,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of historical tsunamis_8C94C64270AB499D,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of Presidents of India_29D9A0F974529DD6,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of Presidents of India_2F0D9C82615E3F69,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,"United States presidential election, 1788–89_2319318D94B31E0E",Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,"United States presidential election, 1788–89_D044F26DA2A432A8",Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,It Wasn't Me_F5B9689AF3789E5B,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Dixiecrat_29A1F0DBF57514B,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,All the Way Up (Fat Joe and Remy Ma song)_F70CDDA0C0B23049,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Commandant of the Marine Corps_BECF0118096B88EE,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of recessions in the United States_E54C25947DBE74A2,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of large aircraft_16628F5A864921E,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Married to Medicine_E1EDC556703D58AA,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of The Proud Family episodes_678A1426D76FF9,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Democratic-Republican Party_E1EFA4D4F89CB3D0,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Federalist Party_E1EFA4D4F89CB3D0,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Greenback Party_2CD55EAFA9BC13C2,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Know Nothing_2CD55EAFA9BC13C2,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Black Panther Party_E1EFA4D4F89CB3D0,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Free Soil Party_2CD55EAFA9BC13C2,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,2018 Major League Baseball season_3FBD8FF8B4247E8,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of political parties in Australia_3CBF813F14F78934,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,United Russia_7833D4DAF7A40944,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Pink Floyd – The Wall_276782AE5E93C023,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,El Señor de los Cielos (season 5)_68478533FE370294,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,2017 Major League Baseball season_AF6530750D738C,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,President of South Africa_42808F37D79C70D1,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Richmond Football Club_B0E39FD8A9DD4321,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Political parties in the United States_D68A9E113022941F,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of proper names of stars_D87339104245E335,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of The Mick episodes_CBAE94A10E3BEB9,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Anthony Eden_58BBAD38638321EC,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,"United Kingdom general election, 1945_33E4140934739B52",Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of historical tsunamis_4BBCFE7C7EBE651A,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of Presidents of the United States by military service_DF67AFB44753D75,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Dinosaurs (TV series)_BFA626DDDBA5EF47,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Papa Was a Rollin' Stone_242DC3D356689A05,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Snoop Dogg_45DCCDB9334C3FB5,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,List of The Originals episodes_7C841C49CDF18230,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Gin and Juice_45DCCDB9334C3FB5,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
what was the major platform of the know-nothing party,Empire of the Sun (band)_8B713AD35BF848C0,Know Nothing_CB95DD121C5F17E1,American nationalism; Anti-Catholicism; Populism; Nativism; Republicanism
