query,top tables,target table,target answer
who flies out of clearwater st pete airport,Fearless (TV series)_280553E031A2330A,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,Draft Dodger Rag_2DCF473768DA39F7,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,If I Had a Hammer_39F5D4F375F0303F,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,Fortunate Son_AEAA241122EF0BB2,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,Proud Mary_F64CDD109C1B7D3A,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,We Shall Overcome: The Seeger Sessions_39F5D4F375F0303F,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,I Heard It Through the Grapevine_481085EE57F033A7,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,Cosmo's Factory_3DEA6335D3328908,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,Turn! Turn! Turn!_2DCF473768DA39F7,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,Where Have All the Flowers Gone?_2DCF473768DA39F7,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,Have You Ever Seen the Rain?_F64CDD109C1B7D3A,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,"Pinellas County, Florida_2CB27680B917B8C3",St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,"Dunedin, Florida_72A440E4C148DB57",St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,"Gulfport, Florida_99A907E9FFA9FF0",St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,"Palm Harbor, Florida_72A440E4C148DB57",St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,"Safety Harbor, Florida_99A907E9FFA9FF0",St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,"St. Petersburg, Florida_72A440E4C148DB57",St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,"Indian Rocks Beach, Florida_99A907E9FFA9FF0",St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,List of Only Fools and Horses episodes_2883A1A3C29CFE40,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,Channel Islands_1E37B34DAF51C1B4,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,List of James Bond vehicles_5B85CBC9189FEF25,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,Gatwick Airport railway station_E51F9406E3B0280,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,Cosmo's Factory_F8B2890E9F5633C1,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,The Who_7A646324BD719BE1,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,The Who Tour 1982_AF4D3AD0D09F5148,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,Tommy (1975 film)_95CF9EA7B2D30B12,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,Manchester Piccadilly station_C6248BDE805D7757,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,List of Liv and Maddie episodes_AFDBD8BCEE2FA9C1,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
who flies out of clearwater st pete airport,Channel Islands_F32B215D0315C28A,St. Pete–Clearwater International Airport_1D49FE2ABB7B987E,Allegiant Air; Sun Country Airlines; Sunwing Airlines
