query,top tables,target table,target answer
who wrote the lyrics to beds are burning,Beds Are Burning_251B3FFDD3B25F53,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,"File:Jimi Hendrix burning his guitar at the Monterey Pop Festival, June 18, 1967.jpg_4AB60A85322E39E5",Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Beds Are Burning_AF5130D37C8C8CE1,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,40th Academy Awards_DF0C624F9841229C,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,The Brave (TV series)_E8ECBD8019E98260,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Jane the Virgin (season 4)_12253B6DA39B1F8D,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,List of people considered father or mother of a scientific field_6CE5CBD1B28AD545,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,List of people considered father or mother of a scientific field_7F4BC3076488D9B7,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,List of The Thundermans episodes_8A92F379DAF3BC5A,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Academy Award for Best Original Song_D0F4C6421D93DCDB,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Academy Award for Best Original Song_DE51860FB0B6BAE6,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,The Brave (TV series)_C050B4591B361D83,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,SEAL Team (TV series)_C86A3F1A2FE0702D,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Academy Award for Best Original Song_D63BA45EA2C0FBF8,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,SEAL Team (TV series)_67DC0AD602C80A47,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,The Young Person's Guide to the Orchestra_728EADE38A09FCBD,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Visa policy of the United States_23D235876A9F0298,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,"List of Nicky, Ricky, Dicky & Dawn episodes_3D80B4C321E84ECD",Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Burning Man_E2B95D212154E36C,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Academy Award for Best Original Song_B91BC7EF0CADF0AF,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Agents of S.H.I.E.L.D. (season 5)_29E09CB2FBCE4BA2,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,List of Only Fools and Horses episodes_A2F9C4DB7E6000E3,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Can't Pay? We'll Take It Away!_B30226B45147E82C,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Can't Pay? We'll Take It Away!_2B4FCF26E28BA490,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Who Says You Can't Go Home_F89575336BF56A85,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Jane the Virgin (season 4)_DC1B1621DD4B842C,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Tomb of the Unknown Soldier_22504D0C59255BA2,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,67th Tony Awards_862F8CFEA034446E,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,This Is Us (season 2)_E5717A0700AA4A53,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Kevin (Probably) Saves the World_42595D0C13DB1CE9,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Agents of S.H.I.E.L.D. (season 5)_9395CE62B6A58478,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,The Bachelorette (season 14)_CA7C00F01DEBA5D8,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,The Dumping Ground (series 5)_E45E3EA525EC5887,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Academy Award for Best Original Song_26B6E11F7F4DD103,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Wicked (musical)_16DC52525392D07D,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Tarana-e-Pakistan_C9C3D44C05FF5822,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Pocahontas (1995 film)_16DC52525392D07D,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,The Handmaid's Tale_A6661F52456B6413,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Guardians of the Galaxy: The Telltale Series_C84A148167BDE3C7,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,The Prince of Egypt_8D1F32256F378EE3,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Piece of My Heart_88E9BFAEBAC15A01,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,The Voice (U.S. season 14)_13DB3CE60B7B3514,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Supernatural (season 13)_7967DB51792A2BF5,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Agents of S.H.I.E.L.D. (season 5)_3BD6EFA75A0078F0,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,List of Drop Dead Diva characters_7A8C45CF16A59780,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,List of forms of government_8C6BE99253781CF6,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,The Walking Dead (season 8)_6806385FB44E612F,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Wicked (musical)_8D1F32256F378EE3,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,The Hunchback of Notre Dame (1996 film)_8D1F32256F378EE3,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Piece of My Heart_89D0A8F58CCD6A9A,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,The Emperor: Owner of the Mask_F091792FC82F2317,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Pocahontas (1995 film)_8D1F32256F378EE3,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,List of The Smurfs characters_9FA4F5202472269A,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,The Voice (U.S. season 13)_F06186DDDCDE6DC5,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,The Voice (U.S. season 13)_FE6CDA730F193091,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,U2_6E877EA162ED8227,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Supernatural (season 13)_A056B54337DB3696,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Ryan Gosling_23F18AF4C4F7797A,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Let It Go (Disney song)_13B3FCC3242F96C2,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,The Walking Dead (season 8)_DFD00CEA71CB0F84,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,The Voice (U.S. season 12)_7CF0E61569EF5E55,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Supernatural (season 13)_6C2A14BB1F7E9F0C,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Let It Go (Disney song)_EA5B9FDE16A0535F,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,"You, Me and the Apocalypse_3B0FDA9ACBC7904E",Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Love Is Here to Stay_74AFFF4F9C571250,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Agents of S.H.I.E.L.D. (season 5)_7EF78577EFA2D05C,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,The Walking Dead (season 8)_CA198C11AFF64C61,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,"He Ain't Heavy, He's My Brother_89D0A8F58CCD6A9A",Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,The X-Files (season 11)_B9422F7C8BCEE42A,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,A Series of Unfortunate Events (TV series)_AC6871316AB1A9CB,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Reservation in India_DDDC044345C95871,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Agents of S.H.I.E.L.D. (season 5)_F353AA4BE8BCE9F7,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,The Magicians (U.S. TV series)_C1761A0BEB4A7B16,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Dance Moms (season 7)_CA07403288963C06,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
who wrote the lyrics to beds are burning,Roses Are Red_42ECEA7815953198,Beds Are Burning_251B3FFDD3B25F53,Rob Hirst; Jim Moginie; Peter Garrett
