query,top tables,target table,target answer
who is the original singer of the song i put a spell on you,I Put a Spell on You_1A48AF69E7C07311,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,Don't Let Me Be Misunderstood_CD5996D929C2AB64,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,"To Be Young, Gifted and Black_CD5996D929C2AB64",I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,I Wish I Knew How It Would Feel to Be Free_CD5996D929C2AB64,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,List of Phineas and Ferb songs_B5C944997722BA18,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,Fifty Shades of Grey_93E1D1DADC6FD421,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,Into the West (song)_46320392FCE742D8,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,Proud Mary_C7CD40C089D6F7F0,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,Straight from the Heart (song)_2D6C85C335A99BB3,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,Clint Eastwood discography_170D98ADD1A70B1D,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,Magic Tree House_E6BC4213513DA1DC,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,Put Your Hand in the Hand_75C6B4A1FD90E05E,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,Why (Annie Lennox song)_D48DF7302AFC6EB5,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,When a Man Loves a Woman (song)_F946F730F8055CE9,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,Put a Little Love in Your Heart_46320392FCE742D8,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,When a Man Loves a Woman (song)_794575AA7BFB490D,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,The Rose (song)_A22A85B8F6D42638,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,America's Got Talent (season 12)_719A352F9FE7D273,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,No More I Love You's_46320392FCE742D8,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,America's Got Talent (season 12)_449DDAA2227D0568,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,All I Ever Need Is You (song)_E9C813A09CB1703F,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,Just Add Magic (TV series)_58E073E5775FA9F7,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
who is the original singer of the song i put a spell on you,List of The X Factor finalists (UK series 5)_B00780B7EFD0FFA0,I Put a Spell on You_1A48AF69E7C07311,Screamin' Jay Hawkins
