query,top tables,target table,target answer
who did shirley maclaine play in steel magnolias,Steel Magnolias_FDA1BDE4B94EB71F,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Steel Magnolias_E3914AF20EBFDF40,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Golden Globe Award for Best Actress in a Motion Picture – Drama_D1FD962606825609,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Lily Rabe_68F24AF33D577341,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Top Ten Money Making Stars Poll_6FBE101DE196075A,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Steel Magnolias_47E7EDF5BEB42F89,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Top Ten Money Making Stars Poll_90D172A8E7A13E97,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Audrey Hepburn_664A93CFA38C7471,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Grace Kelly_664A93CFA38C7471,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Judi Dench_664A93CFA38C7471,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Julia Roberts_7FC07AF997F736FB,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Lily Rabe_BCC4A59A24E85610,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,List of awards and nominations received by Natalie Portman_664A93CFA38C7471,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,List of awards and nominations received by Kate Winslet_7FC07AF997F736FB,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Audrey Hepburn_2D662331104C79FE,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Golden Globe Award for Best Actress in a Motion Picture – Drama_81C92C054990675C,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Vivien Leigh_36E50B222DC77DCB,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Emma Stone_3CE8E4E17EE75175,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Vivien Leigh_3CE8E4E17EE75175,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Bette Davis_716EE252C4C31BBA,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Audrey Hepburn_C3BC5022EE50D4B6,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Judi Dench_C3BC5022EE50D4B6,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,He Didn't Have to Be_3C21E7C9DB05CB28,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Emma Stone_388059CD196992DD,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
who did shirley maclaine play in steel magnolias,Julia Roberts_388059CD196992DD,Steel Magnolias_47E7EDF5BEB42F89,"Louisa ""Ouiser"" Boudreaux"
