query,top tables,target table,target answer
what is the name of the vaccination for hpv,HPV vaccines_15E34EE6092D623B,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,HPV vaccines_34B990B9E2E1B11F,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,HPV vaccines_FA89E5EB76461E6C,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,Visa requirements for Lebanese citizens_DEB4FEA74D2D41F4,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,Vaccination of dogs_1E19CA68D009D9AA,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,Hepatitis B vaccine_A2551902FEE16953,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,Polio vaccine_FA89E5EB76461E6C,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,Smallpox vaccine_FA89E5EB76461E6C,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,Varicella vaccine_FA89E5EB76461E6C,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,Meningococcal vaccine_1E19CA68D009D9AA,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,Pneumococcal conjugate vaccine_FA89E5EB76461E6C,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,Rabies vaccine_1E19CA68D009D9AA,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,Tuberculosis vaccines_1E19CA68D009D9AA,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,2009 flu pandemic vaccine_1E19CA68D009D9AA,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,Visa requirements for United States citizens_958ED22698D962AC,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,Open Heaven / River Wild_B40A7F8ED490AC5A,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,Book of Malachi_40ACE08877B66A89,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,List of Batman television series characters_76FADCE93708F356,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,What a Beautiful Name_AC90645268136D7D,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,List of narrative techniques_E03553BB4C5C884,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,"Scooby-Doo, Where Are You!_35F8023A51D14445",HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,Pride (In the Name of Love)_B8B14829DE06034,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,List of Only Fools and Horses episodes_AA4A96D0876FF1C4,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,Singin' in the Rain (song)_D5EDFFF46DB35A28,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,Love Me or Leave Me (Donaldson and Kahn song)_F5AFFE4FCA044816,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,List of narrative techniques_612E2E204CB701BE,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,Book design_94FE9B59838551F5,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,El Señor de los Cielos (season 5)_68478533FE370294,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
what is the name of the vaccination for hpv,Back to the Future: Music from the Motion Picture Soundtrack_74EB1FBEA9932C93,HPV vaccines_9F1006F7D583888E,Gardasil; Cervarix
