query,top tables,target table,target answer
number of companies listed in indian stock exchange,Muslim conquests of the Indian subcontinent_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Indian astronomy_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Indian literature_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Indian Air Force_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Indian Armed Forces_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Indian National Congress_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Indian Police Service_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Indian Peace Keeping Force_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,List of districts in India_E4B6631DAE87CB82,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Constitution of India_E4B6631DAE87CB82,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Geography of India_E4B6631DAE87CB82,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Government of India_E4B6631DAE87CB82,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,List of extreme points of India_E4B6631DAE87CB82,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Prime Minister of India_E4B6631DAE87CB82,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Education in India_75072637A3725DF5,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Poverty in India_75072637A3725DF5,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Telecommunications in India_75072637A3725DF5,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Rajya Sabha_E4B6631DAE87CB82,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,State Emblem of India_75072637A3725DF5,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Vice President of India_75072637A3725DF5,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,India in World War II_75072637A3725DF5,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Agriculture in India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Elections in India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Income in India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Irrigation in India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Reservation in India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Television in India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Borders of India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Judiciary of India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Politics of India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,President of India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Vice-President of India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,List of World Heritage Sites in India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,History of the Republic of India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,List of extreme points of India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,List of national parks of India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Green Revolution in India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Climatic regions of India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Five-Year Plans of India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Geography of South India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,International rankings of India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Supreme Court of India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,.in_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Colonial India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Concurrent List_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,State List_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Union List_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Ministry of Road Transport and Highways_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Bharatiya Janata Party_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Postage stamps and postal history of India_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,"Fundamental Rights, Directive Principles and Fundamental Duties of India_473B69D170D51609",National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Central Statistics Office (India)_473B69D170D51609,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Banking in India_1E51C5F1BDF7AFA9,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Information technology in India_1E51C5F1BDF7AFA9,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,National Stock Exchange of India_118216FC4D7F1005,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Indian rupee_14F84E901A781303,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Poverty in India_2AC5CD5F9942C6B8,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Banking in India_639EAF9EB8E0C3D0,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Income in India_639EAF9EB8E0C3D0,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Economic liberalisation in India_639EAF9EB8E0C3D0,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Electricity sector in India_143C90E8218DF860,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Wind power in India_143C90E8218DF860,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
number of companies listed in indian stock exchange,Income Tax Department_1E51C5F1BDF7AFA9,National Stock Exchange of India_79DB4ACE8230A002,"1,696"
