query,top tables,target table,target answer
how many students at white river high school,List of school shootings in the United States_54A5F9F184F5FF2F,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,List of school shootings in the United States_56141B616F6DBF8,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,Prince George's County Public Schools_1E6C71EF21E41834,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,List of school shootings in the United States_7926913AF7B37F1C,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,List of school shootings in the United States_ED33FE2A157B95FC,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,List of school shootings in the United States_7153A3C68424C956,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,South Oak Cliff High School_A1536E602C9B7B3C,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,Greensboro sit-ins_5F6CB857A605AFB,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,List of school shootings in the United States_1EEAFCE6422B6CE3,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,White River High School (Washington)_4D3F0B286D172F69,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,List of school shootings in the United States_8F241ED9152E6E32,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,Anthony Bourdain: Parts Unknown_548CA42D1863A5FA,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,La Habra High School_8A61D684413EEEFB,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,Columbine High School massacre_E35F6FABB89AC207,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,Bulimia nervosa_29BF17A6ACB2C6C,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,List of Doc Martin episodes_C363147CCEE53467,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,List of school shootings in the United States_6B465E9FE214A7DB,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,Little Rock Central High School_215BA6202344C1BA,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,List of My Hero Academia episodes_A5068BD988876C39,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,List of Indian residential schools in Canada_5624BA282846899,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,West Shamokin High School_946B08B45A6190DC,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,List of medical schools in the United Kingdom_4B211C3F3DCF7625,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,List of school shootings in the United States_8967AEC153DBFB43,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,List of school shootings in the United States_621AF8F9BC47B3AD,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,Rochester City School District_AA776C313334DE00,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,America's Got Talent (season 9)_774BB775AB981BC5,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,Young Sheldon_DF8E7DC444239BEF,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,Animal House_EDA88331B3360CBA,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,National Lampoon's Vacation_EDA88331B3360CBA,White River High School (Washington)_4D3F0B286D172F69,"1,270"
how many students at white river high school,Arkansas_E2ED6D0E4421896F,White River High School (Washington)_4D3F0B286D172F69,"1,270"
