query,top tables,target table,target answer
when does the next episode of lucifer air,List of Lucifer episodes_BCC00B071EA95BEE,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of High School DxD light novels_12263D3DDBB022AD,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of Lucifer episodes_56A931FCD5D43A6B,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of Lucifer episodes_E792FE0BA8F4920,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of The Next Step episodes_2F50993ED45A23E0,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Kevin (Probably) Saves the World_F7CC84AF5820E299,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Kevin (Probably) Saves the World_42595D0C13DB1CE9,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of The Next Step episodes_EE94E79E08CC40D3,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Hounded (The Walking Dead)_B8E67A4A6783871F,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Supernatural (season 13)_DB06E64A1BFD326C,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of My Hero Academia episodes_A5068BD988876C39,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of Supergirl episodes_53737D541A1A2EDD,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of Lucifer episodes_A5B28BBFB7C97C19,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Queen of the South (TV series)_CBB4E031181D271C,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,The Dauphin (Star Trek: The Next Generation)_B4D5137E2CE83638,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of Mako: Island of Secrets episodes_EBEA3C6D28AC33D0,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of Itazura na Kiss episodes_49B09F54D1C0C4,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of Lucifer episodes_BC2CEF38C9290E24,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of Lucifer episodes_8CA5C90A00BE621A,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,The Offspring (Star Trek: The Next Generation)_C5F6096B9502203B,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of The Next Step episodes_5A5DF216F20D88DE,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of Only Fools and Horses episodes_71D8E32C9701A841,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Silly Love Songs (Glee)_26B46DC451847DFF,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Crisis on Earth-X_EAD58A765E9F4FE0,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of Mako: Island of Secrets episodes_E536268F3AFB32C2,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,China Syndrome (The King of Queens)_8658226E9AA19B53,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,"List of Nicky, Ricky, Dicky & Dawn episodes_C28A62730027BB69",List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of Lucifer episodes_8E3CF1173C7B962,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Invasion! (Arrowverse)_2A8A1F17427680DD,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,No Exit (The Vampire Diaries)_13075E017EA5F78F,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of The Proud Family episodes_723C3E93A16E27F5,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Supernatural (season 13)_6C2A14BB1F7E9F0C,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Last Forever_B3BB56195F149CA3,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,A Most Unusual Camera_14959A11E23EDA7A,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Time's Arrow (Star Trek: The Next Generation)_20530B3DB2F8DB2D,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Gaslit_6037A86DA62010E0,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Supernatural (season 13)_A056B54337DB3696,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,The Pineapple Incident_F394128989DF5083,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,SpongeBob SquarePants (season 11)_EAF8635876F58035,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of The Proud Family episodes_1F0B4589FCE7AA47,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,"Something Borrowed, Someone Blue_1503705DC0F0D627",List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,It's the End of the World_5E86646A069CC05A,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of The Next Step episodes_564208E7BE374CC4,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,The Fat Guy Strangler_A17E12E9DB3274A4,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Beyond the Wall (Game of Thrones)_4624F423CC2A5C3A,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Love & Hip Hop: Atlanta (season 7)_A7C14BC29BFF6FB7,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,The Christmas Lunch Incident_D53368CAC59D6A76,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,To Sirloin with Love_D04BBF2B1E470086,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Sympathy for the De Vil_A548AF0D2B2878E0,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,To Serve Man (The Twilight Zone)_67D2723EFDAFCA8D,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Living Biblically_461BB4E001B79F40,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of Lucifer episodes_8438FDD917D24BF4,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Flash vs. Arrow_941C909BD9CCBB05,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Five Characters in Search of an Exit_945BB9EA0FB57A83,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Mr. Saturday Knight_103324660A3953EA,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Survivor: Heroes v. Healers v. Hustlers_DBBC33A134C2937D,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of The Next Step episodes_68BB54F5B78152FE,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Lady of the Lake (Once Upon a Time)_593EE09F9E801431,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,A Sharp Intake of Breath_AA7853B779033C55,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Things Aren't Simple Any More_CEEB75871851F0A2,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Battle of the Bastards_4B881AF289F9A67,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,The Spoils of War (Game of Thrones)_1941281BDD09567F,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,The Monsters Are Due on Maple Street_80CE110E40358EC2,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of Lucifer episodes_76CD007FAE201ED5,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Wink of an Eye_C293791D2757FC61,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,The Pilot (Friends)_61D1156E7917D74F,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Customer Loyalty (The Office)_4F090E48929030D9,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Celebrity Big Brother (U.S. TV series)_D6BE90A044AB86F9,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Dreamscaperers_43310416FC734AD,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Blackwater (Game of Thrones)_9770C7426DB185DE,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Love & Hip Hop: Atlanta (season 7)_1C2B82D599953DCF,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of The Next Step episodes_3C3C165C640973FE,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,His Last Vow_F41B20C574BC7BAF,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Supernatural (season 13)_7967DB51792A2BF5,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,For Whom the Sleigh Bell Tolls_2DA555AADE013FAE,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Big Little Lies (TV series)_29D8909BDF54B636,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of Deadliest Catch episodes_5312900A313671CF,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,A Man Without Honor_A99D4CACD54ACF93,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Adam Ruins Everything_175B145BCD9DF828,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,A Scandal in Belgravia_1E1D4F86806F6B41,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Legendaddy_C62B995EBEC07A0C,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,The Snow Queen (Once Upon a Time)_FC7268BEBBB4BC7F,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Forever Charmed_23CFD648B436D8B9,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,The Miller's Daughter (Once Upon a Time)_71A9B462716A8E01,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,The Entire History of You_F836BA25D2B09DA8,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,You Win or You Die_E5F70E097BF3C752,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,List of The Smurfs characters_6D67062C6B05D23C,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Celebrity Big Brother (U.S. TV series)_1347C74C6B5C58D7,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Valley Girls_203EB07F67602563,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,The Lion and the Rose_85B26A86F4CF7FE6,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Bloodletting (The Walking Dead)_4BC29A6C3DA108B3,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,The One Where Rachel Smokes_2265B1CB1329C069,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Across the Sea (Lost)_A79922785E080277,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,Family Guy (season 16)_AED10DB70CE5BD1E,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
when does the next episode of lucifer air,What You Leave Behind_551A71512B2D8FA4,List of Lucifer episodes_A4F3F967C31FAE1A,"October 23, 2017"
