query,top tables,target table,target answer
who came third in the 2018 grand national,Nicene Creed_2FFB1D36C8778CAD,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,President of South Africa_42808F37D79C70D1,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,2018 Australian Grand Prix_EDFA79C66BCC8537,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,Turkish War of Independence_4ECB7E236E51D5C6,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,List of Black Clover episodes_6DC4D43530D88B34,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,2018 Chinese Grand Prix_54431D98186F4110,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,2018 Chinese Grand Prix_8A45C60BE0043C1,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,The Theory of Everything (2014 film)_60CB21D362B93274,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,The Theory of Everything (2014 film)_CC64CD0A1E135663,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,Who Do You Think You Are? (UK TV series)_2357A67C5C3B7ECB,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,American game show winnings records_392D61A6BE5E593D,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,The Tiger Who Came to Tea_473C3AB9418475EA,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,Geology of the Grand Canyon area_F1AA18A67C36C3DD,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,The Third Man_CAD1C4F804860CE1,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,"Don't ask, don't tell_F5CDC7C109867C6E",2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,Grand slam (baseball)_19B9C98C1355EB74,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,Grand Canyon National Park_CCF4CE05C863082,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,Down a Dark Hall_65A31FA98D36970B,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,The Englishman who Went up a Hill but Came down a Mountain_FE95AD703C422C1C,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,Curling at the 2018 Winter Olympics_98EA6CC46D43ECE9,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,Curling at the 2018 Winter Olympics – Men's tournament_98EA6CC46D43ECE9,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,Curling at the 2018 Winter Olympics – Women's tournament_98EA6CC46D43ECE9,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,Grand Canyon_CCF4CE05C863082,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,2018 Grand National_CDEE671D3EE59F42,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,Who's Lovin' You_ED978C9D5D863190,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,Grand slam (baseball)_FE406318D1AE7FC5,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,Havasupai_7FA4F9739533D6FD,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,RTÉ Sports Person of the Year_FE12A263D509B0DF,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,Grand Canyon Skywalk_F1AA18A67C36C3DD,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,2018 A-League Grand Final_3063FF46EAADFEA3,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,2017 AFL Grand Final_391E9DF2084E837E,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,NRL Grand Final_7466631CBE35AF95,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,Who's Lovin' You_E892180889514F41,2018 Grand National_94E8C590C4792CFF,Bless The Wings
who came third in the 2018 grand national,List of historical period drama films and series set in Near Eastern and Western civilization_AEF10CD35200B7C3,2018 Grand National_94E8C590C4792CFF,Bless The Wings
