query,top tables,target table,target answer
who stars in a tree grows in brooklyn,A Tree Grows in Brooklyn (film)_4C44CFE8A7437C99,A Tree Grows in Brooklyn (film)_4C44CFE8A7437C99,Dorothy McGuire; Joan Blondell; James Dunn; Lloyd Nolan; Peggy Ann Garner; Ted Donaldson; James Gleason; Ruth Nelson; John Alexander; B.S. Pully
who stars in a tree grows in brooklyn,A Tree Grows in Brooklyn (film)_D694745FF1235335,A Tree Grows in Brooklyn (film)_4C44CFE8A7437C99,Dorothy McGuire; Joan Blondell; James Dunn; Lloyd Nolan; Peggy Ann Garner; Ted Donaldson; James Gleason; Ruth Nelson; John Alexander; B.S. Pully
who stars in a tree grows in brooklyn,A Tree Grows in Brooklyn (novel)_498FB4B92ADC2575,A Tree Grows in Brooklyn (film)_4C44CFE8A7437C99,Dorothy McGuire; Joan Blondell; James Dunn; Lloyd Nolan; Peggy Ann Garner; Ted Donaldson; James Gleason; Ruth Nelson; John Alexander; B.S. Pully
who stars in a tree grows in brooklyn,The Way You Look Tonight_E269637832AD114C,A Tree Grows in Brooklyn (film)_4C44CFE8A7437C99,Dorothy McGuire; Joan Blondell; James Dunn; Lloyd Nolan; Peggy Ann Garner; Ted Donaldson; James Gleason; Ruth Nelson; John Alexander; B.S. Pully
who stars in a tree grows in brooklyn,I'm in the Mood for Love_E269637832AD114C,A Tree Grows in Brooklyn (film)_4C44CFE8A7437C99,Dorothy McGuire; Joan Blondell; James Dunn; Lloyd Nolan; Peggy Ann Garner; Ted Donaldson; James Gleason; Ruth Nelson; John Alexander; B.S. Pully
who stars in a tree grows in brooklyn,On the Sunny Side of the Street_E269637832AD114C,A Tree Grows in Brooklyn (film)_4C44CFE8A7437C99,Dorothy McGuire; Joan Blondell; James Dunn; Lloyd Nolan; Peggy Ann Garner; Ted Donaldson; James Gleason; Ruth Nelson; John Alexander; B.S. Pully
who stars in a tree grows in brooklyn,Splendor in the Grass_C6302096936522CA,A Tree Grows in Brooklyn (film)_4C44CFE8A7437C99,Dorothy McGuire; Joan Blondell; James Dunn; Lloyd Nolan; Peggy Ann Garner; Ted Donaldson; James Gleason; Ruth Nelson; John Alexander; B.S. Pully
who stars in a tree grows in brooklyn,Mickey Kuhn_96E1D1BC898124B4,A Tree Grows in Brooklyn (film)_4C44CFE8A7437C99,Dorothy McGuire; Joan Blondell; James Dunn; Lloyd Nolan; Peggy Ann Garner; Ted Donaldson; James Gleason; Ruth Nelson; John Alexander; B.S. Pully
who stars in a tree grows in brooklyn,On the Waterfront_BAB4A7CC9A45C194,A Tree Grows in Brooklyn (film)_4C44CFE8A7437C99,Dorothy McGuire; Joan Blondell; James Dunn; Lloyd Nolan; Peggy Ann Garner; Ted Donaldson; James Gleason; Ruth Nelson; John Alexander; B.S. Pully
who stars in a tree grows in brooklyn,Bobby Anderson (actor)_921C34F76665A904,A Tree Grows in Brooklyn (film)_4C44CFE8A7437C99,Dorothy McGuire; Joan Blondell; James Dunn; Lloyd Nolan; Peggy Ann Garner; Ted Donaldson; James Gleason; Ruth Nelson; John Alexander; B.S. Pully
who stars in a tree grows in brooklyn,East of Eden (film)_BAB4A7CC9A45C194,A Tree Grows in Brooklyn (film)_4C44CFE8A7437C99,Dorothy McGuire; Joan Blondell; James Dunn; Lloyd Nolan; Peggy Ann Garner; Ted Donaldson; James Gleason; Ruth Nelson; John Alexander; B.S. Pully
