query,top tables,target table,target answer
who have been the host of wheel of fortune,Venture capital_45D937816C3AE9FE,Wheel of Fortune (U.S. game show)_8BB3929B24910D4A,Chuck Woolery; Pat Sajak; Rolf Benirschke; Bob Goen
who have been the host of wheel of fortune,Who Do You Think You Are? (UK TV series)_13AB5B4248277517,Wheel of Fortune (U.S. game show)_8BB3929B24910D4A,Chuck Woolery; Pat Sajak; Rolf Benirschke; Bob Goen
who have been the host of wheel of fortune,Leprosy_A3F272F81736B1FF,Wheel of Fortune (U.S. game show)_8BB3929B24910D4A,Chuck Woolery; Pat Sajak; Rolf Benirschke; Bob Goen
who have been the host of wheel of fortune,Grey's Anatomy (season 14)_FDA5CC84A0CC803E,Wheel of Fortune (U.S. game show)_8BB3929B24910D4A,Chuck Woolery; Pat Sajak; Rolf Benirschke; Bob Goen
who have been the host of wheel of fortune,List of Only Fools and Horses episodes_17B22A2E03E34B76,Wheel of Fortune (U.S. game show)_8BB3929B24910D4A,Chuck Woolery; Pat Sajak; Rolf Benirschke; Bob Goen
who have been the host of wheel of fortune,Eurovision Song Contest 2017_BACFF0C2AC7BDEB6,Wheel of Fortune (U.S. game show)_8BB3929B24910D4A,Chuck Woolery; Pat Sajak; Rolf Benirschke; Bob Goen
who have been the host of wheel of fortune,Westworld (season 2)_DC7C2EEC1DBA710D,Wheel of Fortune (U.S. game show)_8BB3929B24910D4A,Chuck Woolery; Pat Sajak; Rolf Benirschke; Bob Goen
who have been the host of wheel of fortune,List of Batman Family adversaries_E63B12AE1305B56B,Wheel of Fortune (U.S. game show)_8BB3929B24910D4A,Chuck Woolery; Pat Sajak; Rolf Benirschke; Bob Goen
who have been the host of wheel of fortune,List of forms of government_8C6BE99253781CF6,Wheel of Fortune (U.S. game show)_8BB3929B24910D4A,Chuck Woolery; Pat Sajak; Rolf Benirschke; Bob Goen
who have been the host of wheel of fortune,The Flash (season 4)_47BC0E1B23A1FB8B,Wheel of Fortune (U.S. game show)_8BB3929B24910D4A,Chuck Woolery; Pat Sajak; Rolf Benirschke; Bob Goen
who have been the host of wheel of fortune,Ethnic groups in the Philippines_96465C2DD91BCC19,Wheel of Fortune (U.S. game show)_8BB3929B24910D4A,Chuck Woolery; Pat Sajak; Rolf Benirschke; Bob Goen
who have been the host of wheel of fortune,List of iZombie episodes_802589B5A73238BB,Wheel of Fortune (U.S. game show)_8BB3929B24910D4A,Chuck Woolery; Pat Sajak; Rolf Benirschke; Bob Goen
who have been the host of wheel of fortune,London Eye_77D625D150F66B7E,Wheel of Fortune (U.S. game show)_8BB3929B24910D4A,Chuck Woolery; Pat Sajak; Rolf Benirschke; Bob Goen
who have been the host of wheel of fortune,List of wealthiest historical figures_E43052D9EAFD9080,Wheel of Fortune (U.S. game show)_8BB3929B24910D4A,Chuck Woolery; Pat Sajak; Rolf Benirschke; Bob Goen
