query,top tables,target table,target answer
who's going to the baseball world series,The Last Podcast on the Left_34227E1DF821E9B5,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,Wrecked (U.S. TV series)_99B42A288B77A107,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,List of World Series broadcasters_951199B04E362389,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,Military history of African Americans_D302079E8BB79276,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,So Awkward_29FE548BE0D6CFC4,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,List of Only Fools and Horses episodes_8D281C57D3C086B7,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,List of World Series champions_29C1D08C818708E5,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,Shot Heard 'Round the World (baseball)_FAE6DD189AD335FA,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,Patrick Melrose (TV series)_BE17EE7CC7A9F5CA,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,Shameless (U.S. TV series)_BE17EE7CC7A9F5CA,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,Mayim Bialik_D3A101FC3CBC3FFF,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,The Vietnam War (TV series)_C93197C984A79A7,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,Who's Gonna Save My Soul_44ED88CCAAA8E6DD,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,Twice Upon a Time (Doctor Who)_6753F18E23DEB1D7,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,List of World Series broadcasters_FA605E1246317F3C,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,List of Major League Baseball franchise postseason droughts_B3CA4A5EFC216B7,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,Taylor Momsen_F8306E305650E9F5,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,Dinosaurs (TV series)_769CD50536AB993A,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,The Girl in the Fireplace_83E12064F623DE05,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,World Series Most Valuable Player Award_29C1D08C818708E5,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,1955 World Series_FA605E1246317F3C,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,1988 World Series_FA605E1246317F3C,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,1995 World Series_FA605E1246317F3C,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,1997 World Series_FAE6DD189AD335FA,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,List of Major League Baseball franchise postseason streaks_C7EA8910832F2C1F,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,The Snowmen_A65E3C6206F64228,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,2017 World Series_72E8A9C3124669C1,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,1998 Major League Baseball home run record chase_DE219CB2C4A76476,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,Mayim Bialik_6E45C3AB9D2164E,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
who's going to the baseball world series,The Day of the Doctor_A65E3C6206F64228,2017 World Series_1A410BC7FA195613,Houston Astros; Los Angeles Dodgers
