query,top tables,target table,target answer
the average number of vacation days given annually to american workers,List of minimum annual leave by country_F92297DA01945255,List of minimum annual leave by country_F92297DA01945255,"offered by private employers is 10 days after 1 year of service, 14 days after 5 years, 17 days after 10 years, and 20 days after 20 years."
the average number of vacation days given annually to american workers,Minimum wage in the United States_928ADFE765E22DB1,List of minimum annual leave by country_F92297DA01945255,"offered by private employers is 10 days after 1 year of service, 14 days after 5 years, 17 days after 10 years, and 20 days after 20 years."
the average number of vacation days given annually to american workers,Minimum wage in the United States_A01F6438E1617889,List of minimum annual leave by country_F92297DA01945255,"offered by private employers is 10 days after 1 year of service, 14 days after 5 years, 17 days after 10 years, and 20 days after 20 years."
the average number of vacation days given annually to american workers,Retirement age_9388A5360DA1B94A,List of minimum annual leave by country_F92297DA01945255,"offered by private employers is 10 days after 1 year of service, 14 days after 5 years, 17 days after 10 years, and 20 days after 20 years."
the average number of vacation days given annually to american workers,Earned income tax credit_A3020C65BC878B1,List of minimum annual leave by country_F92297DA01945255,"offered by private employers is 10 days after 1 year of service, 14 days after 5 years, 17 days after 10 years, and 20 days after 20 years."
the average number of vacation days given annually to american workers,New Year's Day_960AB305C8207335,List of minimum annual leave by country_F92297DA01945255,"offered by private employers is 10 days after 1 year of service, 14 days after 5 years, 17 days after 10 years, and 20 days after 20 years."
the average number of vacation days given annually to american workers,Electronic dance music_C1728D2B9C9360FD,List of minimum annual leave by country_F92297DA01945255,"offered by private employers is 10 days after 1 year of service, 14 days after 5 years, 17 days after 10 years, and 20 days after 20 years."
the average number of vacation days given annually to american workers,Symbol (chemistry)_DA46E472B6E61E25,List of minimum annual leave by country_F92297DA01945255,"offered by private employers is 10 days after 1 year of service, 14 days after 5 years, 17 days after 10 years, and 20 days after 20 years."
the average number of vacation days given annually to american workers,Cognitive behavioral therapy_9160D4E4D112A7D1,List of minimum annual leave by country_F92297DA01945255,"offered by private employers is 10 days after 1 year of service, 14 days after 5 years, 17 days after 10 years, and 20 days after 20 years."
the average number of vacation days given annually to american workers,Legal working age_DB216D8C68F1421B,List of minimum annual leave by country_F92297DA01945255,"offered by private employers is 10 days after 1 year of service, 14 days after 5 years, 17 days after 10 years, and 20 days after 20 years."
the average number of vacation days given annually to american workers,List of forms of government_8C6BE99253781CF6,List of minimum annual leave by country_F92297DA01945255,"offered by private employers is 10 days after 1 year of service, 14 days after 5 years, 17 days after 10 years, and 20 days after 20 years."
the average number of vacation days given annually to american workers,Pullman Strike_586876E13F55120,List of minimum annual leave by country_F92297DA01945255,"offered by private employers is 10 days after 1 year of service, 14 days after 5 years, 17 days after 10 years, and 20 days after 20 years."
the average number of vacation days given annually to american workers,Christmas_4F4DCF159CD0E3DE,List of minimum annual leave by country_F92297DA01945255,"offered by private employers is 10 days after 1 year of service, 14 days after 5 years, 17 days after 10 years, and 20 days after 20 years."
the average number of vacation days given annually to american workers,World population_A7A0AD9AE830750B,List of minimum annual leave by country_F92297DA01945255,"offered by private employers is 10 days after 1 year of service, 14 days after 5 years, 17 days after 10 years, and 20 days after 20 years."
the average number of vacation days given annually to american workers,Night of the Long Knives_74F1378D4CB4DD7F,List of minimum annual leave by country_F92297DA01945255,"offered by private employers is 10 days after 1 year of service, 14 days after 5 years, 17 days after 10 years, and 20 days after 20 years."
