query,top tables,target table,target answer
what is the name of the shortbread girl scout cookie,Girl Scout Cookies_B5A5A5C1DCE0410D,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,Girl Scouts of the USA_D07822F53115E0CB,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,Empire (season 4)_2ABACE638DA16C6A,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,Membership levels of the Girl Scouts of the USA_81756B4E05BAC1F6,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,Girl Scouts of the USA_454F630FFE0EEE61,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,Order of the Arrow_F4B4DD14F20CD0A9,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,History of the Boy Scouts of America_81756B4E05BAC1F6,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,Ranks in the Boy Scouts of America_454F630FFE0EEE61,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,Land of Make Believe (amusement park)_F3C20DAADEC82568,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,Boy Scouts of America_F4B4DD14F20CD0A9,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,Scout leader_2BC0D1BCE0915070,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,Olave Baden-Powell_8C61672DEF77DDE9,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,The Tide Is High_4EAFD2E60043C3B8,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,Dynamic Host Configuration Protocol_23FD22B6680046F6,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,Khamani Griffin_D0450149DD0CD51,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,Merit badge (Boy Scouts of America)_454F630FFE0EEE61,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,"Robert Baden-Powell, 1st Baron Baden-Powell_8C61672DEF77DDE9",Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,This Is What You Came For_1B249818AB20B3E6,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,List of World Organization of the Scout Movement members_C3A755D98CE515D7,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,Cable Girls_AC3CAE0693DCD660,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,Call Me (Blondie song)_4EAFD2E60043C3B8,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,The Tide Is High_221939027D6DAE4F,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,All of the Lights_FE3C2A3F065310B7,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
what is the name of the shortbread girl scout cookie,Singin' in the Rain (song)_D5EDFFF46DB35A28,Girl Scout Cookies_B5A5A5C1DCE0410D,Shortbread; Trefoils
