query,top tables,target table,target answer
who are the hosts of that's incredible,Westworld (season 2)_DC7C2EEC1DBA710D,That's Incredible!_C3197ACCEFCAF7AB,John Davidson; Fran Tarkenton; Cathy Lee Crosby
who are the hosts of that's incredible,Riverdale (2017 TV series)_B87981BB77AC5263,That's Incredible!_C3197ACCEFCAF7AB,John Davidson; Fran Tarkenton; Cathy Lee Crosby
who are the hosts of that's incredible,The Handmaid's Tale (TV series)_6D804890AF5A50A4,That's Incredible!_C3197ACCEFCAF7AB,John Davidson; Fran Tarkenton; Cathy Lee Crosby
who are the hosts of that's incredible,Time After Time (TV series)_907256779CC19B3F,That's Incredible!_C3197ACCEFCAF7AB,John Davidson; Fran Tarkenton; Cathy Lee Crosby
who are the hosts of that's incredible,The Crossing (TV series)_C861611A44387726,That's Incredible!_C3197ACCEFCAF7AB,John Davidson; Fran Tarkenton; Cathy Lee Crosby
who are the hosts of that's incredible,Runaways (TV series)_D34C4BDA79E3311F,That's Incredible!_C3197ACCEFCAF7AB,John Davidson; Fran Tarkenton; Cathy Lee Crosby
who are the hosts of that's incredible,List of Shadowhunters episodes_A3939F4ACA5B5706,That's Incredible!_C3197ACCEFCAF7AB,John Davidson; Fran Tarkenton; Cathy Lee Crosby
who are the hosts of that's incredible,Can't Pay? We'll Take It Away!_B30226B45147E82C,That's Incredible!_C3197ACCEFCAF7AB,John Davidson; Fran Tarkenton; Cathy Lee Crosby
who are the hosts of that's incredible,Can't Pay? We'll Take It Away!_2B4FCF26E28BA490,That's Incredible!_C3197ACCEFCAF7AB,John Davidson; Fran Tarkenton; Cathy Lee Crosby
who are the hosts of that's incredible,Raven's Home_EB7BA19741712CD9,That's Incredible!_C3197ACCEFCAF7AB,John Davidson; Fran Tarkenton; Cathy Lee Crosby
who are the hosts of that's incredible,Riverdale (2017 TV series)_B8010C7716473BDA,That's Incredible!_C3197ACCEFCAF7AB,John Davidson; Fran Tarkenton; Cathy Lee Crosby
who are the hosts of that's incredible,Riverdale (2017 TV series)_3C2A115F2E40BB22,That's Incredible!_C3197ACCEFCAF7AB,John Davidson; Fran Tarkenton; Cathy Lee Crosby
who are the hosts of that's incredible,List of Batman Family adversaries_6A004CAC45C924B2,That's Incredible!_C3197ACCEFCAF7AB,John Davidson; Fran Tarkenton; Cathy Lee Crosby
who are the hosts of that's incredible,List of Only Fools and Horses episodes_8D281C57D3C086B7,That's Incredible!_C3197ACCEFCAF7AB,John Davidson; Fran Tarkenton; Cathy Lee Crosby
who are the hosts of that's incredible,The President Show_D10530DA96982662,That's Incredible!_C3197ACCEFCAF7AB,John Davidson; Fran Tarkenton; Cathy Lee Crosby
who are the hosts of that's incredible,Quantico (season 2)_2D9A910FDAF74F69,That's Incredible!_C3197ACCEFCAF7AB,John Davidson; Fran Tarkenton; Cathy Lee Crosby
who are the hosts of that's incredible,Agents of S.H.I.E.L.D. (season 5)_3BD6EFA75A0078F0,That's Incredible!_C3197ACCEFCAF7AB,John Davidson; Fran Tarkenton; Cathy Lee Crosby
