query,top tables,target table,target answer
who won the us open golf last year,RTÉ Sports Person of the Year_FE12A263D509B0DF,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Mark O'Meara_BDC7728F0A6504AB,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,World number 1 ranked male tennis players_4CE73923783AAF2B,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,List of accolades received by The Last of Us_E92D6C91433B43EC,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Tiger Woods_F7118CB1FF20669D,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,The Open Championship_905DEA56782422E3,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Babe Didrikson Zaharias_5DC04409AE6DF6FB,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Serena Williams_1DE96F4443D80BE0,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,2017 U.S. Women's Open Golf Championship_20AAF2B4357AB11C,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,2017 U.S. Open (golf)_660BB5C13F120F11,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Men's major golf championships_E9CD352C8EF61F86,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Troy Baker_AF7203CE02F6ED68,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,2017 U.S. Open (golf)_7542DD036F686FFE,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,1913 U.S. Open (golf)_80F6E804C32F3187,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Lynda Baron_2120E7E8A2D6ED61,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,2017 U.S. Women's Open Golf Championship_A54DAFA85BA0A971,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,2016 Open Championship_839919B986BB9324,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,2017 Open Championship_839919B986BB9324,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Payne Stewart_D9AF0655978FCE02,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,2017 Presidents Cup_80960F64CC0DC6BF,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Francis Ouimet_EE6B50BD52E20D79,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Celebrity Big Brother (U.S. TV series)_D6BE90A044AB86F9,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Alcohol laws of New Jersey_C449DE466C6970B4,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Payne Stewart_6267BD5347C42BBD,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Golf at the Summer Olympics_8C221EE7E2ED3FE0,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,The Open Championship_80D869EC8BEDF8F5,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,The Open Championship_12A160401048AA65,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,U.S. Open (golf)_6C19F2F17B7EB30E,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Senior Open Championship_12A160401048AA65,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,United States Golf Association_86CD24C7A3FCDAA,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Golf course_86CD24C7A3FCDAA,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Serena Williams_A6341412CA2792E,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,List of people who have lit the Olympic cauldron_DDEAAAE6BDB3DCFB,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Drive (golf)_E52E68044B7F1AC3,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,World Golf Hall of Fame_E52E68044B7F1AC3,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Men's major golf championships_E52E68044B7F1AC3,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Obsolete golf clubs_8C221EE7E2ED3FE0,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Masters Tournament_86CD24C7A3FCDAA,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,PGA Championship_86CD24C7A3FCDAA,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Long drive_4FC2543DBAD463E5,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Masters Tournament_4FC2543DBAD463E5,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Golf cart_8C221EE7E2ED3FE0,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Handicap (golf)_A68330E2AAC58358,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Miniature golf_A68330E2AAC58358,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Pitching wedge_8C221EE7E2ED3FE0,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Glossary of golf_8C221EE7E2ED3FE0,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,List of golfers with most PGA Tour wins_E52E68044B7F1AC3,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,List of men's major championships winning golfers_86CD24C7A3FCDAA,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Official World Golf Ranking_6C19F2F17B7EB30E,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Old Course at St Andrews_8C221EE7E2ED3FE0,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Men's major golf championships_80D869EC8BEDF8F5,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Penalty (golf)_AE26018456F8D06,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Golf equipment_5F2D696C027E6EEF,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Presidents Cup_6094996305C39D91,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Golf_6334E93556A52005,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Long drive_80D869EC8BEDF8F5,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Timeline of golf history (1353–1850)_AE26018456F8D06,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Solheim Cup_6C19F2F17B7EB30E,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Presidents Cup_5F2D696C027E6EEF,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,U.S. Senior Open_80D869EC8BEDF8F5,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,List of men's major championships winning golfers_12A160401048AA65,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,List of golfers with most LPGA major championship wins_12A160401048AA65,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,U.S. Open (golf)_3786DC7975B3F5D7,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,The Open Championship_D4CCCB61A39BFED2,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,World number 1 ranked male tennis players_86EDB7ED4548959F,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Sports in the United States_462BF184B20F1B04,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Royal Birkdale Golf Club_F7830F09D6386615,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Men's major golf championships_2B1BE7B3B1737932,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Saturday Night Live (season 43)_1E6E8D46C0A0DF93,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,U.S. Open (golf)_BB7DEDAA1F183995,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,List of The Last of Us characters_9DE317E6EEB2B420,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,List of awards and nominations received by Katharine Hepburn_BCEE5B2BC21A6901,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,List of Prime Ministers of Canada by time in office_E095B5892D37F94,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Walt Disney World_4CB872A0821849A3,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Canadian Open (golf)_EFCD01779A5FE231,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Sports Illustrated_4939515A22EA0B29,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,U.S. Open (golf)_D4CCCB61A39BFED2,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Avatar: The Last Airbender_DAE9F8385488E878,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Men's major golf championships_8B5FA26B266E6430,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,List of awards and nominations received by Whitney Houston_BF46973DF8C1AEE0,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Celebrity Big Brother (U.S. TV series)_1347C74C6B5C58D7,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,List of National Football League rushing champions_F4249BAEE33CADEF,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Grand Slam (golf)_F6A25AA43EF15F44,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,This Is Us (TV series)_C49D68F6F00841B4,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,This Is Us (TV series)_D1F51BE702FF2DD,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Doctor Who (series 1)_7D64F55713A3A165,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,The Last Airbender_915D8D9CA7BF2961,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Official World Golf Ranking_92F4090A904FE71E,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Mark O'Meara_B9FAD9729B3131F9,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,The Last Guardian_5456F2FB01BB0918,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Scottish Open (golf)_A47260A69564BEBD,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Malaysian Open (golf)_CC327D229982C332,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Grand Slam (golf)_4DD04EBE1E1F96,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,U.S. Open (golf)_99F8B16EB35D9F26,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Malaysian Open (golf)_C3BFF1D47E8CA67F,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Malaysian Open (golf)_BE1CB650C32C7B53,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Canadian Open (golf)_A397F102BAC5B5F,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Masters Tournament_649EDEA119C9A6F8,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,PGA Championship_649EDEA119C9A6F8,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,James McAvoy_CDBAD97A5B093CE,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Official World Golf Ranking_135704FBCD4934D9,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Men's major golf championships_E49E7104E53E15EF,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Noomi Rapace_2B40EEDFEA99535B,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,List of Who Wants to Be a Millionaire? top prize winners_BA1D9A46FEB8369A,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Billy Connolly_B018486CC2044D63,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,2017 Open Championship_CF07A73B59130B65,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Game seven_95C07BD406A792AE,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Men's major golf championships_D4CCCB61A39BFED2,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Grand Slam (golf)_D4CCCB61A39BFED2,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Sex and the City 2_6BB355E3BC6485D5,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,Masters Tournament_B4112131D8E4BA3F,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
who won the us open golf last year,List of men's major championships winning golfers_649EDEA119C9A6F8,List of U.S. Open (golf) champions_1B008535920B3D41,Brooks Koepka
